DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
15.01.2018;21.01.2018;NEG_HT;1,8;1003,46;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;1,8;1776,87;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;1,82;987;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;1,9;5997;Netz an Anbieter;15;15;;
15.01.2018;21.01.2018;NEG_HT;1,97;5997;Netz an Anbieter;15;15;;
15.01.2018;21.01.2018;NEG_HT;1,99;1875;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;2;5500;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;2;5;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_HT;2;5;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_HT;2;5;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_HT;2;5;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_HT;2;5;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_HT;2,01;245;Netz an Anbieter;6;6;;
15.01.2018;21.01.2018;NEG_HT;2,04;5997;Netz an Anbieter;15;15;;
15.01.2018;21.01.2018;NEG_HT;2,11;5997;Netz an Anbieter;15;15;;
15.01.2018;21.01.2018;NEG_HT;2,18;5997;Netz an Anbieter;15;15;;
15.01.2018;21.01.2018;NEG_HT;2,25;5997;Netz an Anbieter;15;15;;
15.01.2018;21.01.2018;NEG_HT;2,3;348;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;2,31;2500;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;2,32;5997;Netz an Anbieter;15;15;;
15.01.2018;21.01.2018;NEG_HT;2,38;1671,67;Netz an Anbieter;8;8;;
15.01.2018;21.01.2018;NEG_HT;2,39;5997;Netz an Anbieter;15;6;;
15.01.2018;21.01.2018;POS_NT;8,64;61,37;Netz an Anbieter;9;9;X;
15.01.2018;21.01.2018;NEG_NT;17;42,1;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;29;980;Netz an Anbieter;8;8;;
15.01.2018;21.01.2018;NEG_NT;29;979;Netz an Anbieter;6;6;;
15.01.2018;21.01.2018;NEG_NT;29,03;250;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;30,23;312,5;Netz an Anbieter;5;5;;
